ppCode,ppName,geometries
G0002,GEYLANG ROAD ,"1.3110159066985572, 103.87381873395744"
G0004,GALI BATU CLOSE HEAVY VEHICLE PARK,"1.0162642548260385, 103.58175180795413"
G0018,GENTING LANE ,"1.3254231606298927, 103.8775317911256"
G0021,GENTING ROAD ,"1.328346895872145, 103.87502652102705"
G0022,GENTING LINK ,"1.3286276443770635, 103.87430753346354"
G0026,GUL CIRCLE ,"1.318566839510224, 103.67660247590948"
G0027,GUL AVENUE ,"1.3149373375452469, 103.66997359811064"
G0028,GUL DRIVE ,"1.3171597387262328, 103.66931783916345"
G0029,GUL LANE ,"1.313097961173052, 103.66281210785259"
G0030,GUL CRESCENT ,"1.310220561010593, 103.66290054239914"
G0032,GUL STREET 1 ,"1.3175875609791143, 103.66878384211323"
G0033,GUL STREET 2 ,"1.3184386014608203, 103.66826457386458"
G0034,GUL STREET 3 ,"1.3181856378252765, 103.66685568749054"
G0035,GUL STREET 4 ,"1.31808956554386, 103.66530017947825"
G0036,GUL STREET 5 ,"1.3170445188153013, 103.66340489188224"
G0037,GENTING LANE OFF STREET,"1.3251195210258278, 103.87794276803513"
G0038,GUL ROAD ,"1.295074892531939, 103.67127686798709"
G0039,GUILLEMARD ROAD ,"1.3141797741277503, 103.89353541920258"
G0040,GEMMILL LANE ,"1.2824306744109333, 103.84712662239812"
G0043,GOODLINK PARK - JALAN MATA AYER OFF STREET,"1.4258808549491968, 103.82580968769314"
H0003,HAMILTON ROAD OFF STREET,"1.3116896699393292, 103.8617454199042"
H0004,HOLLAND DR-NORTH BOUNA VISTA RD OFF STREET,"1.3119377259854992, 103.79266055694673"
H0006,HINDOO ROAD ,"1.308383168456485, 103.85410990087048"
H0007,HULLET ROAD ,"1.3034495311396048, 103.83804955721031"
H0008,HARBOUR DRIVE    ,"1.2894673526170468, 103.76894722229302"
H0011,HOLLAND DRIVE OFF STREET,"1.3106947374223479, 103.79320773289521"
H0012,HONG KONG STREET ,"1.2875126808756707, 103.84739215582294"
H0015,HINDOO ROAD OFF STREET ,"1.3085901317754618, 103.85406595189487"
H0021,HILLVIEW TERRACE ,"1.3526472340179, 103.75797921188602"
H0022,HULLET ROAD OFF STREET ,"1.3032004091319742, 103.83904302350687"
